well,fov,nuclei
D05,D05_0006,0
D05,D05_0007,0
D05,D05_0008,0
D05,D05_0009,0
D06,D06_0001,0
D06,D06_0002,0
D06,D06_0003,0
D06,D06_0004,0
D06,D06_0005,0
D06,D06_0006,0
D06,D06_0007,0
D06,D06_0008,0
D06,D06_0009,0
D07,D07_0001,0
D07,D07_0002,0
D07,D07_0003,0
D07,D07_0004,0
D07,D07_0005,0
D07,D07_0006,0
D07,D07_0007,0
D07,D07_0008,0
D07,D07_0009,0
D08,D08_0001,0
D08,D08_0002,0
D08,D08_0003,0
D08,D08_0004,0
D08,D08_0005,0
D08,D08_0006,0
D08,D08_0007,0
D08,D08_0008,0
D08,D08_0009,0
D09,D09_0001,0
D09,D09_0002,0
D09,D09_0003,0
D09,D09_0004,0
D09,D09_0005,0
D09,D09_0006,0
D09,D09_0007,0
D09,D09_0008,0
D09,D09_0009,0
D10,D10_0001,0
D10,D10_0002,0
D10,D10_0003,0
D10,D10_0004,0
D10,D10_0005,0
D10,D10_0006,0
D10,D10_0007,0
D10,D10_0008,0
D10,D10_0009,0
D11,D11_0001,0
D11,D11_0002,0
D11,D11_0003,0
D11,D11_0004,0
D11,D11_0005,0
D11,D11_0006,0
D11,D11_0007,0
D11,D11_0008,0
D11,D11_0009,0
E02,E02_0001,0
E02,E02_0002,0
E02,E02_0003,0
E02,E02_0004,0
E02,E02_0005,0
E02,E02_0006,0
E02,E02_0007,0
E02,E02_0008,0
E02,E02_0009,0
E03,E03_0001,0
E03,E03_0002,0
E03,E03_0003,0
E03,E03_0004,0
E03,E03_0005,0
E03,E03_0006,0
E03,E03_0007,0
E03,E03_0008,0
E03,E03_0009,0
E04,E04_0001,0
E04,E04_0002,0
E04,E04_0003,0
E04,E04_0004,0
E04,E04_0005,0
E04,E04_0006,0
E04,E04_0007,0
E04,E04_0008,0
E04,E04_0009,0
E05,E05_0001,0
E05,E05_0002,0
E05,E05_0003,0
E05,E05_0004,0
E05,E05_0005,0
E05,E05_0006,0
E05,E05_0007,0
E05,E05_0008,0
E05,E05_0009,0
E06,E06_0001,0
E06,E06_0002,0
E06,E06_0003,0
E06,E06_0004,0
E06,E06_0005,0
E06,E06_0006,0
E06,E06_0007,0
E06,E06_0008,0
E06,E06_0009,0
E07,E07_0001,0
E07,E07_0002,0
E07,E07_0003,0
E07,E07_0004,0
E07,E07_0005,0
E07,E07_0006,0
E07,E07_0007,0
E07,E07_0008,0
E07,E07_0009,0
E08,E08_0001,0
E08,E08_0002,0
E08,E08_0003,0
E08,E08_0004,0
E08,E08_0005,0
E08,E08_0006,0
E08,E08_0007,0
E08,E08_0008,0
E08,E08_0009,0
E09,E09_0001,0
